eval_loss,eval_accuracy,eval_ece,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.2461560070514679,0.9185779816513762,0.04489913965583943,14.0598,62.021,1.991,1.0,
0.22089345753192902,0.9288990825688074,0.04345218857767383,14.3472,60.778,1.952,2.0,
0.25164544582366943,0.9311926605504587,0.0486107398884012,14.0393,62.112,1.994,3.0,
0.2016487717628479,0.9392201834862385,0.03059054938478204,14.0176,62.208,1.997,4.0,
0.19250698387622833,0.9380733944954128,0.026769396840432367,14.1065,61.816,1.985,5.0,
0.250765323638916,0.9334862385321101,0.05029316465242188,14.137,61.682,1.981,6.0,
0.23748129606246948,0.9208715596330275,0.05213703310817756,14.1862,61.468,1.974,7.0,
0.22627106308937073,0.9334862385321101,0.04687887546392755,14.3457,60.785,1.952,8.0,
0.2934824526309967,0.9311926605504587,0.05672944726747112,13.4454,64.855,2.082,9.0,
0.2396780550479889,0.9334862385321101,0.04881862967932987,13.3726,65.208,2.094,10.0,
0.24662503600120544,0.9380733944954128,0.05019816154733708,13.683,63.729,2.046,11.0,
0.2190668284893036,0.9357798165137615,0.04150681826499627,13.3372,65.381,2.099,12.0,
0.2806999981403351,0.9415137614678899,0.05362390801994078,13.295,65.589,2.106,13.0,
0.2562258243560791,0.9415137614678899,0.04911810897905888,13.5226,64.484,2.071,14.0,
0.2579324245452881,0.944954128440367,0.0488482116969354,13.0439,66.851,2.147,15.0,
