eval_loss,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
5.0820088386535645,0.0,0.30872471300547555,700.7456665039062,197.7920379638672,14.4077,72.392,2.29,0.14953271028037382
7.128896713256836,0.0,0.3087248322147651,322.425537109375,102.18524169921875,15.3231,68.067,2.154,0.29906542056074764
10.099386215209961,0.0,0.6912749293666558,85.06717681884766,35.55738830566406,15.6435,66.673,2.11,0.4485981308411215
9.428927421569824,0.0,0.6912740949016289,42.458988189697266,16.741676330566406,15.7471,66.234,2.096,0.5981308411214953
5.733273506164551,0.0,0.3087248322147651,224.6918487548828,-23.736488342285156,15.851,65.8,2.082,0.7476635514018691
4.222651481628418,0.0,0.30872298447077706,706.266357421875,-35.61134719848633,16.0353,65.044,2.058,0.897196261682243
15.312836647033691,0.0,0.3087248322147651,16426.736328125,1638.3828125,16.0172,65.117,2.06,1.0448598130841122
nan,0.0,0.0,nan,nan,15.8689,65.726,2.08,1.194392523364486
nan,0.0,0.0,nan,nan,15.9923,65.219,2.063,1.34392523364486
nan,0.0,0.0,nan,nan,16.0056,65.165,2.062,1.4934579439252336
nan,0.0,0.0,nan,nan,15.9747,65.291,2.066,1.6429906542056076
nan,0.0,0.0,nan,nan,15.8001,66.012,2.089,1.7925233644859813
nan,0.0,0.0,nan,nan,15.7337,66.291,2.097,1.9420560747663551
nan,0.0,0.0,nan,nan,15.6885,66.482,2.103,2.0897196261682245
nan,0.0,0.0,nan,nan,15.6622,66.593,2.107,2.2392523364485983
nan,0.0,0.0,nan,nan,15.634,66.714,2.111,2.388785046728972
nan,0.0,0.0,nan,nan,15.7364,66.279,2.097,2.538317757009346
nan,0.0,0.0,nan,nan,15.8887,65.644,2.077,2.68785046728972
nan,0.0,0.0,nan,nan,15.9336,65.459,2.071,2.8373831775700937
nan,0.0,0.0,nan,nan,15.8639,65.747,2.08,2.986915887850467
nan,0.0,0.0,nan,nan,15.9108,65.553,2.074,3.1345794392523363
nan,0.0,0.0,nan,nan,15.8759,65.697,2.079,3.28411214953271
nan,0.0,0.0,nan,nan,15.7314,66.3,2.098,3.433644859813084
nan,0.0,0.0,nan,nan,15.6338,66.714,2.111,3.583177570093458
nan,0.0,0.0,nan,nan,15.5933,66.888,2.116,3.7327102803738317
nan,0.0,0.0,nan,nan,15.6397,66.689,2.11,3.8822429906542055
nan,0.0,0.0,nan,nan,15.7008,66.43,2.102,4.029906542056075
nan,0.0,0.0,nan,nan,15.7539,66.206,2.095,4.179439252336449
nan,0.0,0.0,nan,nan,15.9481,65.4,2.069,4.328971962616823
nan,0.0,0.0,nan,nan,15.9649,65.331,2.067,4.478504672897197
nan,0.0,0.0,nan,nan,16.0565,64.958,2.055,4.6280373831775705
nan,0.0,0.0,nan,nan,16.0164,65.121,2.06,4.777570093457944
nan,0.0,0.0,nan,nan,15.8388,65.851,2.083,4.927102803738318
nan,0.0,0.0,nan,nan,15.7596,66.182,2.094,5.074766355140187
nan,0.0,0.0,nan,nan,15.7577,66.19,2.094,5.224299065420561
nan,0.0,0.0,nan,nan,15.6136,66.801,2.114,5.373831775700935
nan,0.0,0.0,nan,nan,15.7738,66.122,2.092,5.5233644859813085
nan,0.0,0.0,nan,nan,15.7844,66.078,2.091,5.672897196261682
nan,0.0,0.0,nan,nan,15.9087,65.562,2.074,5.822429906542056
nan,0.0,0.0,nan,nan,15.9893,65.231,2.064,5.97196261682243
nan,0.0,0.0,nan,nan,16.0347,65.047,2.058,6.119626168224299
nan,0.0,0.0,nan,nan,15.9703,65.309,2.066,6.269158878504673
nan,0.0,0.0,nan,nan,15.9234,65.501,2.072,6.418691588785046
nan,0.0,0.0,nan,nan,15.8085,65.977,2.087,6.56822429906542
nan,0.0,0.0,nan,nan,15.7657,66.156,2.093,6.717757009345794
nan,0.0,0.0,nan,nan,15.6054,66.836,2.115,6.867289719626168
nan,0.0,0.0,nan,nan,15.7027,66.422,2.102,7.014953271028038
nan,0.0,0.0,nan,nan,15.8001,66.012,2.089,7.164485981308411
nan,0.0,0.0,nan,nan,15.9314,65.468,2.071,7.314018691588785
nan,0.0,0.0,nan,nan,15.9852,65.248,2.064,7.463551401869159
nan,0.0,0.0,nan,nan,16.0556,64.962,2.055,7.613084112149533
nan,0.0,0.0,nan,nan,16.0232,65.093,2.06,7.762616822429907
nan,0.0,0.0,nan,nan,15.9021,65.589,2.075,7.912149532710281
nan,0.0,0.0,nan,nan,15.7785,66.102,2.091,8.05981308411215
nan,0.0,0.0,nan,nan,15.7108,66.388,2.1,8.209345794392524
nan,0.0,0.0,nan,nan,15.6067,66.83,2.114,8.358878504672898
nan,0.0,0.0,nan,nan,15.6676,66.57,2.106,8.508411214953272
nan,0.0,0.0,nan,nan,15.713,66.378,2.1,8.657943925233646
nan,0.0,0.0,nan,nan,15.8782,65.688,2.078,8.80747663551402
nan,0.0,0.0,nan,nan,15.898,65.606,2.076,8.957009345794393
nan,0.0,0.0,nan,nan,15.8391,65.85,2.083,9.104672897196261
nan,0.0,0.0,nan,nan,15.9973,65.198,2.063,9.254205607476635
nan,0.0,0.0,nan,nan,15.9532,65.379,2.069,9.403738317757009
nan,0.0,0.0,nan,nan,15.8684,65.728,2.08,9.553271028037383
nan,0.0,0.0,nan,nan,15.7771,66.108,2.092,9.702803738317757
nan,0.0,0.0,nan,nan,15.6546,66.626,2.108,9.85233644859813
