eval_loss,eval_accuracy,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.22037158906459808,0.9185779816513762,0.03020277441641603,0.18649113178253174,0.015673622488975525,8.6848,100.405,3.224,1.0,
0.23576726019382477,0.9185779816513762,0.04766630894000379,0.18771745264530182,0.006842235568910837,8.6797,100.464,3.226,2.0,
0.22151125967502594,0.9311926605504587,0.044695125260484345,0.13991421461105347,0.023130929097533226,8.6981,100.252,3.219,3.0,
0.23549070954322815,0.9243119266055045,0.04197130318081707,0.15504302084445953,0.002069941023364663,8.676,100.507,3.227,4.0,
0.21889877319335938,0.9277522935779816,0.041356196028923785,0.18542760610580444,0.004242394119501114,8.6928,100.313,3.221,5.0,
0.23846495151519775,0.9277522935779816,0.04767719724582968,0.17397701740264893,0.007179224397987127,8.7001,100.229,3.218,6.0,
0.2517518103122711,0.9277522935779816,0.04691280048648154,0.07478631287813187,0.00903357844799757,8.6841,100.413,3.224,7.0,
0.2276480793952942,0.9369266055045872,0.04384186125676566,0.15261401236057281,0.01268499344587326,8.6889,100.358,3.223,8.0,
0.2656685411930084,0.9334862385321101,0.05172367927131308,0.12808801233768463,0.012708376161754131,8.6952,100.285,3.22,9.0,
0.23144429922103882,0.9231651376146789,0.048160414425058154,0.11585237830877304,0.011361765675246716,8.7103,100.111,3.215,10.0,
0.25173428654670715,0.9334862385321101,0.055513086463880125,0.10336910933256149,0.004807703662663698,8.691,100.334,3.222,11.0,
0.2276374101638794,0.9357798165137615,0.03902994232987041,0.11698832362890244,0.011396844871342182,8.6852,100.401,3.224,12.0,
0.25527602434158325,0.9357798165137615,0.050943883050472406,0.10185181349515915,0.008270908147096634,8.6864,100.387,3.223,13.0,
0.2593488097190857,0.9288990825688074,0.05813425861367396,0.06629519909620285,0.005227671470493078,8.6871,100.378,3.223,14.0,
0.2772658169269562,0.9277522935779816,0.05886748200709663,0.08216322213411331,0.00645838538184762,8.6905,100.339,3.222,15.0,
